n,u_n,v_n,w_n,abs_s_n,is_prime
250,4,1.7802358370342162e-9,0,4,0
251,0.9999999999999997,2.6284658535034602e-8,0,0.9999999999999999,1
252,5,1.780235837034216e-9,0,5,0
253,2,3.5604716740684324e-9,0,2,0
254,2,1.3508848410436111e-8,0,2,0
255,3,2.6179938779914945e-9,0,3,0
256,8,1.6755160819145566e-9,0,8,0
257,0.9999999999999997,2.6912977065752557e-8,0,0.9999999999999999,1
258,3,5.026548245743669e-9,0,3,0
259,2,4.60766922526503e-9,0,2,0
260,4,2.303834612632515e-9,0,4,0
261,3,3.665191429188092e-9,0,3,0
262,2,1.392772743091475e-8,0,2,0
263,0.9999999999999997,2.7541295596470516e-8,0,0.9999999999999999,1
264,5,2.0943951023931954e-9,0,5,0
265,2,6.0737457969402675e-9,0,2,0
266,3,2.9321531433504735e-9,0,3,0
267,2,9.6342174710087e-9,0,2,0
268,3,7.435102613495844e-9,0,3,0
269,0.9999999999999996,2.8169614127188475e-8,0,1,1
270,5,1.6755160819145564e-9,0,5,0
271,0.9999999999999996,2.8379053637427795e-8,0,1,1
272,5,2.6179938779914945e-9,0,5,0
273,3,2.408554367752175e-9,0,3,0
274,2,1.4556045961632709e-8,0,2,0
275,3,2.1991148575128553e-9,0,3,0
276,4,3.1415926535897936e-9,0,4,0
277,0.9999999999999996,2.9007372168145754e-8,0,1,1
278,2,1.4765485471872029e-8,0,2,0
279,3,3.8746309394274115e-9,0,3,0
280,5,1.884955592153876e-9,0,5,0
281,0.9999999999999996,2.9426251188624393e-8,0,1,1
282,3,5.445427266222309e-9,0,3,0
283,0.9999999999999996,2.9635690698863712e-8,0,1,1
284,3,7.853981633974483e-9,0,3,0
285,3,2.8274333882308137e-9,0,3,0
286,3,2.7227136331111543e-9,0,3,0
287,2,5.026548245743669e-9,0,2,0
288,7,1.6755160819145566e-9,0,7,0
289,2,3.5604716740684324e-9,0,2,0
290,3,3.769911184307752e-9,0,3,0
291,2,1.0471975511965978e-8,0,2,0
292,3,8.063421144213802e-9,0,3,0
293,0.9999999999999996,3.068288825006031e-8,0,1,1
294,4,1.9896753472735356e-9,0,4,0
295,2,6.702064327658226e-9,0,2,0
296,4,4.50294947014537e-9,0,4,0
297,4,2.0943951023931954e-9,0,4,0
298,2,1.5812683023068627e-8,0,2,0
299,2,3.769911184307752e-9,0,2,0
300,5,1.7802358370342162e-9,0,5,0
301,2,5.235987755982989e-9,0,2,0
302,2,1.6022122533307947e-8,0,2,0
303,2,1.0890854532444617e-8,0,2,0
304,5,2.8274333882308137e-9,0,5,0
305,2,6.911503837897545e-9,0,2,0
306,4,2.6179938779914945e-9,0,4,0
307,0.9999999999999994,3.214896482173554e-8,0,0.9999999999999999,1
308,4,2.303834612632515e-9,0,4,0
309,2,1.1100294042683937e-8,0,2,0
310,3,3.979350694547071e-9,0,3,0
311,0.9999999999999994,3.256784384221418e-8,0,0.9999999999999999,1
